query,processing_time
"SELECT * FROM Products WHERE Price > 500;
",1.666015625
"SELECT * FROM Customers WHERE LastName LIKE 'S%';
",0.591064453125
"SELECT OrderID, CustomerID FROM Orders WHERE OrderDate BETWEEN '2024-07-01' AND '2024-07-05';
",0.555908203125
"SELECT ProductName, Stock FROM Products WHERE Stock < 100;
",0.737060546875
"SELECT COUNT(*) FROM Orders WHERE TotalAmount > 100;
",0.5
"INSERT INTO Products (ProductID, ProductName, Price, Stock) VALUES (6, 'Mouse', 29.99, 150);
",
"UPDATE Products SET Stock = Stock + 10 WHERE ProductID = 1;
",6.773193359375
"DELETE FROM Customers WHERE CustomerID = 5;
",0.543701171875
"SELECT o.OrderID, c.FirstName, c.LastName FROM Orders o JOIN Customers c ON o.CustomerID = c.CustomerID;
",0.515380859375
"SELECT p.ProductName, od.Quantity FROM OrderDetails od JOIN Products p ON od.ProductID = p.ProductID WHERE od.OrderID = 1;
",0.488037109375
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 95;
",0.406005859375
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 2;
",1.060302734375
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (58, 'First58', 'Last58');
",
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (22, 'First22', 'Last22');
",
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (58, 'First58', 'Last58');
",
"SELECT o.OrderID, c.FirstName, c.LastName FROM Orders o JOIN Customers c ON o.CustomerID = c.CustomerID WHERE o.OrderID = 10;
",1.02783203125
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 79;
",0.42578125
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 94;
",1.462890625
"SELECT * FROM Products WHERE ProductID = 46;
",0.6376953125
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 47;
",0.546142578125
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 43;
",1.28369140625
"DELETE FROM Orders WHERE OrderID = 26;
",0.88916015625
"DELETE FROM Orders WHERE OrderID = 23;
",0.399658203125
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 81;
",0.76123046875
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (29, 'First29', 'Last29');
",
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 1;
",1.375
"SELECT o.OrderID, c.FirstName, c.LastName FROM Orders o JOIN Customers c ON o.CustomerID = c.CustomerID WHERE o.OrderID = 34;
",0.56591796875
"INSERT INTO Products (ProductID, ProductName, Price, Stock) VALUES (11, 'Product11', 160.080146925103, 108);
",
"DELETE FROM Orders WHERE OrderID = 29;
",1.34716796875
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 73;
",1.8310546875
"INSERT INTO Products (ProductID, ProductName, Price, Stock) VALUES (73, 'Product73', 631.954114391555, 183);
",
"SELECT * FROM Customers WHERE CustomerID = 34;
",1.190185546875
"SELECT o.OrderID, c.FirstName, c.LastName FROM Orders o JOIN Customers c ON o.CustomerID = c.CustomerID WHERE o.OrderID = 46;
",0.572021484375
"SELECT * FROM Products WHERE ProductID = 65;
",0.607177734375
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (7, 'First7', 'Last7');
",
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 43;
",1.255126953125
"SELECT * FROM Customers WHERE CustomerID = 77;
",0.47900390625
"SELECT * FROM Products WHERE ProductID = 9;
",0.616943359375
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 96;
",1.013916015625
"SELECT * FROM Customers WHERE CustomerID = 1;
",0.468994140625
"SELECT COUNT(*) FROM Orders WHERE OrderID = 77;
",1.040283203125
"SELECT * FROM Customers WHERE CustomerID = 36;
",0.56005859375
"UPDATE Customers SET LastName = 'Updated' WHERE CustomerID = 99;
",0.458984375
"SELECT p.ProductName, od.Quantity FROM OrderDetails od JOIN Products p ON od.ProductID = p.ProductID WHERE od.OrderID = 36;
",0.64990234375
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 10;
",1.215087890625
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (11, 'First11', 'Last11');
",
"SELECT COUNT(*) FROM Orders WHERE OrderID = 21;
",0.9833984375
"INSERT INTO Customers (CustomerID, FirstName, LastName) VALUES (16, 'First16', 'Last16');
",
"SELECT COUNT(*) FROM Orders WHERE OrderID = 40;
",0.926025390625
"SELECT p.ProductName, od.Quantity FROM OrderDetails od JOIN Products p ON od.ProductID = p.ProductID WHERE od.OrderID = 68;
",0.458984375
"DELETE FROM Orders WHERE OrderID = 8;
",0.455078125
"DELETE FROM Orders WHERE OrderID = 73;
",0.406005859375
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 2;
",0.386962890625
"UPDATE Products SET Price = Price * 1.05 WHERE ProductID = 54;
",0.826171875
